Skill,Sources
Agricultural Machinery,"Book: Principles of Farm Machinery, Course: Precision Agriculture (Coursera), Course: Agricultural Mechanics (Udemy), Doc: John Deere Technical Manuals, YouTube: Farm Equipment"
Air Quality,"Book: Air Quality Management, Course: Air Pollution and Control (Coursera), Course: Environmental Monitoring (Udemy), Doc: EPA Air Quality Standards, YouTube: Environmental Science"
Algorithm Development,"Book: Introduction to Algorithms (CLRS), Course: Algorithms Specialization (Coursera), Course: Data Structures and Algorithms (Udemy), Doc: GeeksforGeeks Algorithms, YouTube: Abdul Bari"
Analog/Digital Design,"Book: Microelectronic Circuits (Sedra/Smith), Course: VLSI Fundamentals (Coursera), Course: Digital Systems (edX), Doc: Texas Instruments Learning Center, YouTube: EEVblog"
Android/Linux,"Book: Android Programming (Big Nerd Ranch), Course: Linux System Administration (Coursera), Course: Android App Development (Udemy), Doc: Android Developers Documentation, YouTube: Derek Banas"
Architectural Drafting (Revit),"Book: Mastering Revit Architecture, Course: Revit Architecture 2024 (Udemy), Course: BIM for Architects (LinkedIn Learning), Doc: Autodesk Revit Help, YouTube: Balkan Architect"
Architecture Design,"Book: Architecture: Form, Space, and Order, Course: Architectural Design (Coursera), Course: Rhino 3D for Architects (Udemy), Doc: ArchDaily Case Studies, YouTube: 30X40 Design Workshop"
Assembly Line Design,"Book: Assembly Line Design and Balancing, Course: Manufacturing Processes (edX), Course: Lean Manufacturing (Udemy), Doc: Toyota Production System Principles, YouTube: Gemba Academy"
Asset Reliability,"Book: Reliability Centered Maintenance, Course: Asset Management (Coursera), Course: Maintenance Engineering (Udemy), Doc: ISO 55000 Standards, YouTube: Reliability Web"
Attention to Detail,"Book: The Checklist Manifesto, Course: Critical Thinking (LinkedIn Learning), Course: Proofreading Skills (Udemy), Doc: Six Sigma Quality Articles, YouTube: Productivity Game"
Audio Standards,"Book: The Audio Expert, Course: Audio Engineering (Coursera), Course: Sound Design for Games (Udemy), Doc: AES Standards, YouTube: Sound on Sound"
Auditing,"Book: Auditing and Assurance Services, Course: Financial Auditing (Coursera), Course: Internal Auditing (Udemy), Doc: IFRS/GAAP Standards, YouTube: Accounting Stuff"
Authoring Tools (Articulate),"Book: E-Learning Uncovered: Articulate Storyline, Course: Articulate Storyline 360 (Udemy), Course: Building Courses in Storyline (LinkedIn Learning), Doc: Articulate E-Learning Heroes, YouTube: Devlin Peck"
AutoCAD,"Book: AutoCAD 2024 Essentials, Course: AutoCAD Beginner (Udemy), Course: AutoCAD 2D and 3D (Coursera), Doc: Autodesk AutoCAD Help, YouTube: SourceCAD"
AutoCAD Electrical,"Book: AutoCAD Electrical Handbook, Course: AutoCAD Electrical (Udemy), Course: Electrical Design with AutoCAD (LinkedIn Learning), Doc: Autodesk Knowledge Network, YouTube: Electrical Design"
Automated Processing,"Book: Automation, Production Systems, Course: Industrial Automation (edX), Course: Control Systems (Udemy), Doc: Siemens Industrial Automation, YouTube: RealPars"
Automated Test Scripts,"Book: Test Automation Patterns, Course: Selenium WebDriver (Udemy), Course: Python Automation (Coursera), Doc: Selenium Documentation, YouTube: Automation Step by Step"
Automated Testing Tools (Selenium),"Book: Selenium Design Patterns, Course: Selenium with Java (Udemy), Course: Testing with Selenium (Coursera), Doc: Selenium.dev, YouTube: Naveen AutomationLabs"
Automated Welding,"Book: Welding Automation and Robotics, Course: Robotic Welding (Udemy), Course: Welding Technology (Coursera), Doc: American Welding Society (AWS), YouTube: Weld.com"
Automated Workflows,"Book: Business Process Automation, Course: Zapier/Make Automation (Udemy), Course: Workflow Management (Coursera), Doc: Microsoft Power Automate Docs, YouTube: Keep Productive"
Automation,"Book: Automated Reasoning, Course: Robotics and Automation (Coursera), Course: Industrial Automation (Udemy), Doc: IEEE Robotics and Automation Society, YouTube: Engineering Mindset"
Automation Design,"Book: Design of Automatic Machinery, Course: Mechatronics Design (edX), Course: Automation Engineering (Udemy), Doc: Rockwell Automation Library, YouTube: Design World"
Automation Software,"Book: Software Automation Testing, Course: Jenkins/Docker/Kubernetes (Coursera), Course: UI Path RPA (Udemy), Doc: Ansible/Terraform Documentation, YouTube: TechWorld with Nana"
Automotive Systems,"Book: Automotive Engineering Fundamentals, Course: Hybrid & Electric Vehicles (edX), Course: Car Mechanics (Udemy), Doc: SAE International, YouTube: Engineering Explained"
Autonomous Vehicles,"Book: Self-Driving Cars, Course: Self-Driving Car Specialization (Coursera), Course: Autonomous Systems (Udemy), Doc: Waymo/Tesla Research Blogs, YouTube: Two Minute Papers"
Aviation Regulations,"Book: Federal Aviation Regulations (FAR/AIM), Course: Aviation Law (Coursera), Course: Aviation Safety (Udemy), Doc: FAA Regulations, YouTube: FlightSafety"
Aviation Regulations (EASA/FAA),"Book: EASA Part 66, Course: FAA Regulation Training (Udemy), Course: European Aviation Rules (edX), Doc: EASA/FAA Official Sites, YouTube: Mentour Pilot"
Aviation Safety,"Book: Commercial Aviation Safety, Course: Aviation Safety Management (Coursera), Course: Flight Safety Training (Udemy), Doc: ICAO Safety Standards, YouTube: Safety First"
Avionics,"Book: Avionics Systems and Design, Course: Aircraft Electronics (Udemy), Course: Avionics Engineering (Coursera), Doc: Honeywell Aerospace Technical Support, YouTube: Avionics News"
B2B Negotiation,"Book: Getting to Yes, Course: Strategic Negotiation (Coursera), Course: B2B Sales Negotiation (Udemy), Doc: Harvard Program on Negotiation, YouTube: Chris Voss"
BI Strategy,"Book: Business Intelligence Roadmap, Course: BI Professional Certificate (IBM), Course: Strategic BI (Udemy), Doc: Tableau/PowerBI Learning Paths, YouTube: Guy in a Cube"
BIM,"Book: BIM Handbook, Course: BIM Fundamentals (Coursera), Course: Building Information Modeling (Udemy), Doc: BIM Level 2 Standards, YouTube: Autodesk Construction Cloud"
Back-end Logic,"Book: Designing Data-Intensive Applications, Course: Server-side Development (Coursera), Course: Back-end Web Development (Udemy), Doc: Node.js/Django Documentation, YouTube: Hussein Nasser"
Back-end Programming,"Book: Clean Code, Course: Python/Java Backend (Coursera), Course: Go Backend Masterclass (Udemy), Doc: MDN Web Docs - Backend, YouTube: Programming with Mosh"
Backup/Recovery,"Book: Disaster Recovery Handbook, Course: Data Backup and Storage (Coursera), Course: Backup Strategy for SysAdmins (Udemy), Doc: Veeam/AWS Backup Docs, YouTube: NetworkChuck"
Barcode/RFID Integration,"Book: RFID Sourcebook, Course: Automatic Identification (Udemy), Course: Supply Chain Automation (Coursera), Doc: GS1 Standards, YouTube: Zebra Technologies"
Big Data Frameworks (Spark/Hadoop),"Book: Spark: The Definitive Guide, Course: Big Data Specialization (Coursera), Course: Spark and Hadoop Masterclass (Udemy), Doc: Apache Spark Docs, YouTube: DataBricks"
Bio-manufacturing,"Book: Bioprocess Engineering Principles, Course: Bio-manufacturing (edX), Course: Biotechnology (Udemy), Doc: NIH Bio-manufacturing Research, YouTube: Bioprocessing University"
Biological Treatment,"Book: Biological Wastewater Treatment, Course: Water Management (Coursera), Course: Bioreactor Design (Udemy), Doc: EPA Wastewater Guidelines, YouTube: Practical Engineering"
Biomechanics,"Book: Biomechanics of Sport and Exercise, Course: Introduction to Biomechanics (Coursera), Course: Human Motion Analysis (Udemy), Doc: International Society of Biomechanics, YouTube: Institute of Human Anatomy"
Bioprocess Design,"Book: Bioprocess Engineering, Course: Bioprocess Development (Coursera), Course: Bioreactor Engineering (Udemy), Doc: Sartorius Bioprocess Solutions, YouTube: Bioprocess Hub"
Blueprint Interpretation,"Book: Print Reading for Industry, Course: Blueprint Reading (Udemy), Course: Construction Drawing Analysis (LinkedIn Learning), Doc: ANSI/ASME Drafting Standards, YouTube: Construction Drawings 101"
Boiler Operation,"Book: Boiler Operator's Guide, Course: Steam Boiler Operation (Udemy), Course: Stationary Engineering (Coursera), Doc: ASME Boiler & Pressure Vessel Code, YouTube: The Engineering Mindset"
Bottleneck Analysis,"Book: The Goal (Goldratt), Course: Operations Management (Coursera), Course: Process Improvement (Udemy), Doc: Theory of Constraints Handbook, YouTube: Lean Enterprise Institute"
Budget Management,"Book: Financial Management for Managers, Course: Budgeting and Forecasting (Coursera), Course: Project Budgeting (Udemy), Doc: Investopedia - Budgeting, YouTube: Finance Strategists"
Budgetary Constraints,"Book: Budgeting for Projects, Course: Financial Planning (Coursera), Course: Project Cost Management (Udemy), Doc: Project Management Institute (PMI) Docs, YouTube: ProjectManager"
Bug Tracking,"Book: Testing Computer Software, Course: Jira Bug Tracking (Udemy), Course: Software Testing (Coursera), Doc: Atlassian Jira Documentation, YouTube: Testing Academy"
Building Automation,"Book: Building Automation: Control Devices, Course: Smart Building Technology (Udemy), Course: HVAC Controls (Coursera), Doc: ASHRAE Guidelines, YouTube: Smart Buildings Academy"
Building Codes,"Book: International Building Code (IBC), Course: Understanding Building Codes (Udemy), Course: Architecture Regulations (Coursera), Doc: ICC International Code Council, YouTube: Matt Risinger"
Building Information Modeling (BIM),"Book: BIM and Construction Management, Course: Revit for BIM (Udemy), Course: BIM Strategy (Coursera), Doc: ISO 19650 Standards, YouTube: BIM Corner"
Buoyancy,"Book: Fluid Mechanics (White), Course: Marine Engineering (edX), Course: Basic Physics (Udemy), Doc: NASA Buoyancy Principles, YouTube: Science Channel"
Business Continuity,"Book: Business Continuity Management, Course: Disaster Recovery (Coursera), Course: Business Resilience (Udemy), Doc: ISO 22301 Standard, YouTube: Continuity Central"
Business Process Modeling,"Book: BPMN Method and Style, Course: Business Process Mapping (Udemy), Course: Operations Excellence (Coursera), Doc: OMG BPMN Specification, YouTube: Lucidchart"
C++,"Book: The C++ Programming Language (Stroustrup), Course: C++ Nanodegree (Udacity), Course: Beginning C++ Programming (Udemy), Doc: Cppreference.com, YouTube: The Cherno"
C++/C#,"Book: Programming: Principles and Practice using C++, Course: C# and C++ Game Development (Udemy), Course: Object Oriented Programming (Coursera), Doc: Microsoft Learn C# / C++, YouTube: Brackeys"
C/C++,"Book: The C Programming Language (K&R), Course: Embedded Systems with C (Udemy), Course: System Programming in C (Coursera), Doc: GNU C Library Manual, YouTube: Low Level Learning"
CAD,"Book: Engineering Drawing and Design, Course: CAD Design (Coursera), Course: Fusion 360 (Udemy), Doc: Autodesk Knowledge Network, YouTube: Product Design Online"
CAD Design,"Book: CAD/CAM Theory and Practice, Course: 3D CAD Design (Udemy), Course: Professional CAD (LinkedIn Learning), Doc: SolidWorks/Revit Documentation, YouTube: CAD CAM Tutorials"
CAD/CAM,"Book: Mastering CAD/CAM, Course: Fusion 360 CAM (Udemy), Course: CNC & CAD/CAM (Coursera), Doc: Mastercam University, YouTube: Titans of CNC"
CAD/CAM Software,"Book: Computer-Aided Manufacturing, Course: Mastercam for Beginners (Udemy), Course: CAM for Production (Coursera), Doc: Autodesk Fusion 360 Help, YouTube: CAMWorks"
CAM Software,"Book: Principles of CAM, Course: CNC Machining with CAM (Udemy), Course: Advanced CAM (LinkedIn Learning), Doc: HSMWorks Help, YouTube: NYCNC"
CFD,"Book: Computational Fluid Dynamics (Versteeg), Course: Introduction to CFD (edX), Course: Ansys Fluent (Udemy), Doc: SimScale Documentation, YouTube: Fluid Mechanics 101"
CNC Programming,"Book: CNC Programming Handbook, Course: G-Code Masterclass (Udemy), Course: CNC Machining (LinkedIn Learning), Doc: Fanuc Programming Manual, YouTube: Titans of CNC Academy"
CNC Wood Processing,"Book: CNC Woodworking, Course: CNC for Woodworkers (Udemy), Course: VCarve Pro Essentials (LinkedIn Learning), Doc: Vectric Documentation, YouTube: Myers Woodshop"
CRM,"Book: Salesforce For Dummies, Course: CRM Fundamentals (Coursera), Course: Salesforce Administrator (Udemy), Doc: Salesforce/HubSpot Trailhead, YouTube: Salesforce Support"
CSS Animations,"Book: CSS Animations and Transitions, Course: Advanced CSS (Udemy), Course: CSS Animation (Coursera), Doc: MDN CSS Animations, YouTube: Kevin Powell"
CSS3,"Book: CSS Secrets (Lea Verou), Course: CSS Masterclass (Udemy), Course: Responsive Design (Coursera), Doc: W3Schools CSS3, YouTube: Web Dev Simplified"
Capacity Planning,"Book: The Art of Capacity Planning, Course: Cloud Infrastructure Planning (Coursera), Course: Operations Planning (Udemy), Doc: VMware Capacity Planning Guide, YouTube: AWS Training"
Carbon Reduction,"Book: Net Zero: How We Stop Causing Climate Change, Course: Sustainability (Coursera), Course: Carbon Footprint Management (Udemy), Doc: Greenhouse Gas Protocol, YouTube: Climate Town"
Certification Standards,"Book: Quality Management Systems, Course: ISO 9001 Lead Auditor (Udemy), Course: Certification Auditing (Coursera), Doc: ISO Official Standards, YouTube: Quality Gurus"
Certification Testing,"Book: Software Testing Foundations, Course: ISTQB Foundation Level (Udemy), Course: Professional Testing (Coursera), Doc: ISTQB.org, YouTube: Testing Academy"
Channel Marketing,"Book: Channel Management, Course: Partner Marketing Strategy (Coursera), Course: Channel Sales (Udemy), Doc: HubSpot Channel Marketing Guide, YouTube: DemandGen"
Chemical Engineering,"Book: Perry's Chemical Engineers' Handbook, Course: Chemical Engineering (MIT OCW), Course: Process Engineering (Udemy), Doc: AIChE Standards, YouTube: The Chemical Engineer"
Chemical Processing,"Book: Elementary Principles of Chemical Processes, Course: Industrial Chemistry (Coursera), Course: Process Control (Udemy), Doc: Chemical Processing Magazine, YouTube: LearnChemE"
Chemical Properties,"Book: Physical Chemistry (Atkins), Course: Chemistry Specialization (Coursera), Course: General Chemistry (Udemy), Doc: PubChem (NIH), YouTube: Tyler DeWitt"
Chemical Reactions,"Book: Chemical Reaction Engineering, Course: Reaction Kinetics (Coursera), Course: Organic Chemistry (Udemy), Doc: ChemGuide UK, YouTube: Organic Chemistry Tutor"
Chemical Treatment,"Book: Handbook of Chemical Treatment, Course: Water Treatment Processes (Coursera), Course: Industrial Chemicals (Udemy), Doc: Water Environment Federation, YouTube: Engineering Mindset"
Chip Architecture,"Book: Computer Architecture (Hennessy/Patterson), Course: VLSI Design (Coursera), Course: Digital Logic Design (Udemy), Doc: Intel/ARM Technical Manuals, YouTube: Asianometry"
Circuit Analysis,"Book: Engineering Circuit Analysis (Hayt), Course: Circuit Theory (Coursera), Course: Electric Circuits (Udemy), Doc: All About Circuits, YouTube: Michel van Biezen"
Circuit Design,"Book: The Art of Electronics, Course: PCB Design (Udemy), Course: Integrated Circuit Design (Coursera), Doc: Altium Academy, YouTube: GreatScott!"
Circuit Simulation,"Book: SPICE for Power Electronics, Course: LTspice Essentials (Udemy), Course: Simulation in Electronics (Coursera), Doc: LTspice Documentation, YouTube: Robert Feranec"
Cisco/Juniper Systems,"Book: CCNA Certification Guide, Course: Cisco CCNA (Udemy), Course: Juniper JNCIA (Coursera), Doc: Cisco Learning Network, YouTube: NetworkChuck"
Civil Engineering,"Book: Civil Engineering Handbook, Course: Structural Engineering (Coursera), Course: Civil Engineering Basics (Udemy), Doc: ASCE Standards, YouTube: Practical Engineering"
Client Coordination,"Book: Managing the Professional Service Firm, Course: Client Management (Coursera), Course: Project Communication (Udemy), Doc: PMI Body of Knowledge, YouTube: ProjectManager"
Client Relations,"Book: How to Win Friends and Influence People, Course: Relationship Management (Coursera), Course: CRM for Sales (Udemy), Doc: Salesforce Customer Success, YouTube: Vanessa Van Edwards"
Cloud Integration,Book: Enterprise Integration Patterns; Course: Cloud Integration with Azure (Udemy); Course: MuleSoft Integration (Coursera); Doc: AWS AppSync Documentation; YouTube: MuleSoft Videos
Cloud Networking,Book: Cloud Networking: Understanding Cloud-based Data Center Networks; Course: AWS Certified Advanced Networking (A Cloud Guru); Course: Google Cloud Networking (Coursera); Doc: Azure Virtual Network Documentation; YouTube: NetworkChuck
Cloud Security,Book: CSA Guide to Cloud Computing; Course: Cloud Security Professional (CCSP) (Udemy); Course: AWS Security Speciality (Coursera); Doc: Cloud Security Alliance (CSA) Guides; YouTube: SANS Cloud Security
Cloud-Native Design,Book: Cloud Native Patterns; Course: Cloud Native Development (edX); Course: Kubernetes and Cloud Native (Udemy); Doc: CNCF Landscape; YouTube: TechWorld with Nana
Coating Technology,Book: Coating Technology Handbook; Course: Introduction to Surface Engineering (Coursera); Course: Paints and Coatings (Udemy); Doc: NACE International Standards; YouTube: The Coatings Expert
Cold Chain Management,"Book: Cold Chain Management: Strategy, Technology & Applications; Course: Supply Chain Logistics (Coursera); Course: Cold Chain Logistics (Udemy); Doc: IATA Perishable Cargo Regulations; YouTube: Global Cold Chain Alliance"
Color Grading,Book: Color Correction Handbook (Alexis Van Hurkman); Course: DaVinci Resolve Color Grading (Udemy); Course: Color Grading for Editors (LinkedIn Learning); Doc: Blackmagic Design Resolve Manual; YouTube: Waqas Qazi
Color Theory,Book: Interaction of Color (Josef Albers); Course: Color Theory for Designers (Coursera); Course: Graphic Design Foundation (Udemy); Doc: Adobe Color Guides; YouTube: The Futur
Combustion Analysis,Book: Internal Combustion Engine Fundamentals; Course: Thermodynamics (Coursera); Course: Combustion Engineering (edX); Doc: EPA Combustion Source Methods; YouTube: Engineering Explained
Communication Systems,Book: Communication Systems (Simon Haykin); Course: Digital Communications (Coursera); Course: Wireless Communications (Udemy); Doc: IEEE Communications Society; YouTube: The Engineering Mindset
Compliance,Book: Compliance Management: A How-to Guide; Course: Regulatory Compliance (Coursera); Course: Corporate Governance and Compliance (Udemy); Doc: ISO 19600 Guidelines; YouTube: Compliance Week
Compliance Testing,Book: The Compliance Testing Handbook; Course: Software Testing and Quality Assurance (Coursera); Course: Financial Compliance Testing (Udemy); Doc: NIST Compliance Frameworks; YouTube: ISTQB Academy
Component Qualification,Book: Reliability Engineering Handbook; Course: Quality Management Systems (Coursera); Course: Electronic Component Reliability (Udemy); Doc: MIL-STD-883 Standards; YouTube: EEVblog
Composite Engineering,Book: Analysis and Performance of Fiber Composites; Course: Introduction to Composites (Coursera); Course: Composite Materials (Udemy); Doc: NetComposites Guides; YouTube: Easy Composites
Consensus Algorithms,Book: Mastering Bitcoin; Course: Blockchain Specialization (Coursera); Course: Distributed Systems (Udemy); Doc: Ethereum Whitepaper; YouTube: Simply Explained
Consultative Sales,Book: The SPIN Selling Fieldbook; Course: Sales Strategy (Coursera); Course: Consultative Selling (Udemy); Doc: HubSpot Sales Blog; YouTube: Victor Antonio
Consulting,Book: The McKinsey Way; Course: Management Consulting (Coursera); Course: Case Interview Prep (Udemy); Doc: Consulting Magazine; YouTube: Firm Learning
Consumption Analysis,Book: Energy Consumption Analysis; Course: Data Analysis for Energy Efficiency (Coursera); Course: Power Usage Effectiveness (Udemy); Doc: IEA Energy Statistics; YouTube: Energy 101
Continuous Improvement (Kaizen),Book: Gemba Kaizen; Course: Lean Six Sigma Green Belt (Coursera); Course: Kaizen Practitioner (Udemy); Doc: Lean Enterprise Institute; YouTube: Gemba Academy
Contract Law,Book: Contracts: Cases and Doctrine; Course: Introduction to Contract Law (Coursera); Course: Business Law (Udemy); Doc: Uniform Commercial Code (UCC); YouTube: Legal Eagle
Control Logic,Book: Programmable Logic Controllers (Petruzella); Course: PLC Programming (Udemy); Course: Industrial Control Systems (Coursera); Doc: Rockwell Automation User Manuals; YouTube: RealPars
Control Systems,Book: Modern Control Engineering (Ogata); Course: Control Systems (Coursera); Course: Feedback Control Systems (Udemy); Doc: MATLAB Control System Toolbox; YouTube: Brian Douglas
Control Theory,Book: Control Theory for Humans; Course: Dynamic Systems and Control (edX); Course: Linear Systems (Coursera); Doc: NASA Engineering Standards; YouTube: Steve Brunton
Converter Topologies,Book: Fundamentals of Power Electronics; Course: Power Electronics (Coursera); Course: DC-DC Converter Design (Udemy); Doc: Texas Instruments Power Topologies Guide; YouTube: Katkim Show
Cooling Solutions,Book: Heat Transfer: A Practical Approach; Course: Thermal Management of Electronics (Coursera); Course: HVAC Design (Udemy); Doc: ASHRAE Technical Resources; YouTube: The Engineering Mindset
Corrosion Engineering,Book: Corrosion Engineering: Principles and Practice; Course: Corrosion Control (Coursera); Course: Cathodic Protection (Udemy); Doc: AMPP (formerly NACE) Standards; YouTube: Corrosion TV
Corrosion Resistance,Book: Handbook of Corrosion Resistant Coatings; Course: Materials Science (Coursera); Course: Metallurgy for Non-Metallurgists (Udemy); Doc: ASM International Handbooks; YouTube: Materials Science 101
Cross-Functional Leadership,Book: Team of Teams; Course: Leading Cross-Functional Teams (Coursera); Course: Collaborative Leadership (Udemy); Doc: Harvard Business Review Articles; YouTube: Simon Sinek
Cross-Platform Development,Book: Flutter in Action; Course: React Native - The Practical Guide (Udemy); Course: Mobile App Development (Coursera); Doc: Flutter.dev / Reactnative.dev; YouTube: The Net Ninja
Cryptographic Protocols,Book: Applied Cryptography; Course: Cryptography I (Coursera); Course: Network Security (Udemy); Doc: IETF RFCs (TLS/SSL); YouTube: Computerphile
Cryptography,Book: The Code Book; Course: Cryptography Specialization (Coursera); Course: Intro to Cryptography (Udemy); Doc: NIST Cryptographic Standards; YouTube: Art of the Problem
Customer Experience,Book: The Effortless Experience; Course: Customer Experience Strategy (Coursera); Course: UX/CX Foundation (Udemy); Doc: Qualtrics CX Resources; YouTube: Blake Morgan
Customer Service,Book: Customer Service Training 101; Course: Customer Service Fundamentals (Coursera); Course: Excellence in Customer Service (Udemy); Doc: Zendesk Resource Library; YouTube: Shep Hyken
Customer Support,Book: Delivering Happiness; Course: IT Support Professional Certificate (Google/Coursera); Course: Customer Support Mastery (Udemy); Doc: Intercom Customer Support Guide; YouTube: Help Scout
Customs Regulations,Book: U.S. Customs Regulations Handbook; Course: International Trade and Logistics (Coursera); Course: Import/Export Compliance (Udemy); Doc: CBP.gov (U.S. Customs); YouTube: Logistics of Logistics
Cybersecurity Auditing,Book: CISA Certified Information Systems Auditor Study Guide; Course: Cybersecurity Auditing (Coursera); Course: IS Audit Process (Udemy); Doc: ISACA Standards; YouTube: IT Audit Guy
Cybersecurity Frameworks,Book: Cybersecurity Frameworks for Beginners; Course: IT Security Management (Coursera); Course: NIST Cybersecurity Framework (Udemy); Doc: NIST.gov / ISO 27001; YouTube: Simply Cyber
DALI Protocols,Book: Lighting Control with DALI; Course: Smart Lighting Systems (Udemy); Course: Building Automation (Coursera); Doc: DALI Alliance (DiiA) Technical Specs; YouTube: DALI Alliance
Dam Engineering,Book: Dam Engineering (Zheng Fu Kuan); Course: Geotechnical Engineering (Coursera); Course: Hydraulic Structures (Udemy); Doc: USACE Dam Safety Guidelines; YouTube: Practical Engineering
Dashboard Governance,Book: Information Dashboard Design (Few); Course: Data Governance (Coursera); Course: BI Governance (Udemy); Doc: Tableau Blueprint; YouTube: Guy in a Cube
Data Analytics,Book: Data Science for Business; Course: Google Data Analytics Professional (Coursera); Course: Data Analysis with Python (Udemy); Doc: Pandas Documentation; YouTube: Alex The Analyst
Data Architecture,Book: The Data Warehouse Toolkit; Course: Data Engineering Foundations (Coursera); Course: Data Modeling for Data Architects (Udemy); Doc: DAMA-DMBOK; YouTube: Data Architecture Academy
Data Cleansing,Book: Bad Data Handbook; Course: Data Cleaning with Python (Udemy); Course: Data Wrangling (Coursera); Doc: OpenRefine Documentation; YouTube: Data School
Data Collection,Book: Data Collection: A Guide for Beginners; Course: Research Methods and Data Collection (Coursera); Course: Web Scraping with Python (Udemy); Doc: BeautifulSoup Documentation; YouTube: Sentdex
Data Governance,"Book: Data Governance: How to Design, Deploy, and Sustain; Course: Data Governance Specialization (Coursera); Course: Enterprise Data Management (Udemy); Doc: Data Governance Institute; YouTube: LightsOnData"
Data Integrity,Book: Data Integrity and Compliance; Course: Quality Assurance for Data (Coursera); Course: Database Security (Udemy); Doc: FDA Data Integrity Guidance; YouTube: Compliance Online
Data Management,Book: DAMA-DMBOK: Data Management Body of Knowledge; Course: Data Management Strategy (Coursera); Course: SQL for Data Management (Udemy); Doc: Oracle Data Management Guides; YouTube: Intellipaat
Data Privacy,Book: Data Privacy: A Field Guide; Course: GDPR Compliance (Coursera); Course: Certified Information Privacy Professional (CIPP) (Udemy); Doc: IAPP Privacy Library; YouTube: Privacy Kitchen
Data Profiling,Book: Data Quality: The Accuracy Dimension; Course: Data Discovery and Profiling (Udemy); Course: Exploratory Data Analysis (Coursera); Doc: Informatica Data Profiling Guide; YouTube: CloverDX
Data Quality Control,Book: Executing Data Quality Projects; Course: Data Quality Management (Coursera); Course: Data Quality Strategy (Udemy); Doc: ISO 8000 Standards; YouTube: Data Quality Guy
Data Security,Book: Data Security and Privacy; Course: Cybersecurity for Data Science (Coursera); Course: Encryption and Data Protection (Udemy); Doc: Cloud Security Alliance Guides; YouTube: TechTarget
Data Storytelling,Book: Storytelling with Data (Cole Nussbaumer Knaflic); Course: Data Visualization and Storytelling (Coursera); Course: The Art of Data Storytelling (Udemy); Doc: Tableau Storytelling Guides; YouTube: Storytelling with Data
