job_title,job_description,skills
Data Scientist,"As a Data Engineer at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Reality Labs, Threads). Your technical skills and analytical mindset will be utilized designing and building some of the world's most extensive data sets, helping to craft experiences for billions of people and hundreds of millions of businesses worldwide.In this role, you will collaborate with software engineering, data science, and product management teams to designbuild scalable data solutions across Meta to optimize growth, strategy, and user experience for our 3 billion plus users, as well as our internal employee community.You will be at the forefront of identifying and solving some of the most interesting data challenges at a scale few companies can match. By joining Meta, you will become part of a vibrant community dedicated to skill development and career growth in data engineering and beyond.Data Engineering You will guide teams by building optimal data artifacts (including datasets and visualizations) to address key questions. You will refine our systems, design logging solutions, and create scalable data models. Ensuring data security and quality, and with a strong focus on efficiency, you will suggest architecture and development approaches and data management standards to address complex analytical problems.Product leadership You will use data to shape product development, identify new opportunities, and tackle upcoming challenges. You'll ensure our products add value for users and businesses, by prioritizing projects, and driving innovative solutions to respond to challenges or opportunities.Communication and influence You won't simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner. Data Engineer Responsibilities Conceptualize and own the data architecture for multiple large-scale projects, while evaluating design and operational cost-benefit tradeoffs within systems Create and contribute to frameworks that improve the efficacy of logging data, while working with data infrastructure to triage issues and resolve Collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights in a meaningful way Define and manage Service Level Agreements for all data sets in allocated areas of ownership Determine and implement the security model based on privacy requirements, confirm safeguards are followed, address data quality issues, and evolve governance processes within allocated areas of ownership Design, build, and launch collections of sophisticated data models and visualizations that support multiple use cases across different products or domains Solve our most challenging data integration problems, utilizing optimal Extract, Transform, Load (ETL) patterns, frameworks, query techniques, sourcing from structured and unstructured data sources Assist in owning existing processes running in production, optimizing complex code through advanced algorithmic concepts Optimize pipelines, dashboards, frameworks, and systems to facilitate easier development of data artifacts Influence product and cross-functional teams to identify data opportunities to drive impact Mentor team members by givingreceiving actionable feedback Minimum Qualifications Bachelor's degree in Computer Science, Engineering, relevant technical field, or equivalent 4+ years of experience where the primary responsibility involves working with data. This could include roles such as data analyst, data scientist, data engineer, or similar positions 4+ years of experience (or a minimum of 2+ years with a Ph.D) with SQL, ETL, data modeling, and at least one programming language (e.g., Python, C++, C#, Scala, etc.) About Meta Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics. Individual compensation is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base hourly rate, monthly rate, or annual salary only, and do not include bonus, equity or sales incentives, if applicable. In addition to base compensation, Meta offers benefits. Learn more about benefits at Meta.","[r, WhatsApp, Reality Labs, data science, strategy, frameworks, query techniques, dashboards, data scientist, data engineer, data modeling, Python, Scala, find communities, communication, initiative, leadership, problem_solving, teamwork]"
Data Scientist (GenAI),"Moon Active is one of the world's fastest-growing mobile game companies, providing entertainment for millions of active users across the universe. The company is headquartered in the heart of Tel Aviv. We're looking for a sharp and passionate Data Scientist to join our top-notch Data Science team. Using your technical and analytical skills, your mission will be to develop Data Science models in purpose to directly impact the business KPIs in various areas. Responsibilities Develop data science models to support business decision-making and improve KPIs across various areas. Analyze complex data sets to identify trends, patterns, and insights. Continuously monitor and improve model performance through testing and experimentation. Execute projects end-to-end from requirements gathering, data mining, and exploration up to full implementing in production Collaborate with cross-functional teams including product, engineering, and marketing to identify data-driven solutions. Communicate findings and insights to non-technical stakeholders in a clear and concise manner. Stay up-to-date with the latest advancements and trends in data science and machine learning. Creating a framework of technical standards and procedures. Requirements 3+ years of working experience in the field of advanced research using Data Science tools BSc degree in a quantitative field such as Data Science, Computer Science, Statistics, Mathematics, or a related field. Proficiency in programming languages such as Python and SQL and data science toolkits. Strong experience in data analysis, statistical modeling, and end to end machine learning flow data extraction, feature engineering, model building and performance evaluation. Experience in AB testing Excellent communication skills and the ability to present complex data in a clear and concise manner. Strong problem-solving skills and the ability to think creatively to develop innovative solutions. Self-learner, strong can-do attitude and great interpersonal skills Working experience in the gaming industry - an advantage #LI-Hybrid","[patterns, data mining, Computer Science, statistical modeling, feature engineering, communication, problem_solving, teamwork]"
Real World Data Scientist,"DESCRIPTION abra is recruiting Data Science for the role of predicting behaviors by using advanced machine learning algorithms in all its forms while examining statistics, establishing information systems that integrate AI insights, planning and implementing advanced AI solutions, initiating and algorithmic research, and more. Full-time position Sunday-Thursday in Lod. REQUIREMENTS Academic degree in exact sciences or engineering (with relevant background) – required. Five years or more experience in developing ML models for an operational environment – ​​required. In-depth knowledge of the Python language – required.",[r]
Real World Data Scientist,"We offer the industry's only platform that fuses customer identity and anti-fraud solutions – customer identity management, identity verification, and fraud prevention. We sell to industries with large, consumer-facing businesses such as banking, financial services, insurance, fintech, gaming, ecommerceretail, telco  media, utilities, etc. About the Role In this role, you will take an integral part in the creation of a new and innovative SaaS product. If you are a talented Data Scientist that likes to solve complex problems and looking for your next challenge we want you to join our team! What You'll Be Doing Create MLDL flows to solve multi-stage problems, mainly in the Computer Vision domain, but not exclusively. Build the foundation of a new and exciting ML based product, including best practices, defining data pipeline requirements, metrics evaluation, data exploration and visualization. Take part in bringing SOTA algorithms to the production environment, to solve key pain points for customers. What you'll need Bachelor degree in computer science or a related field. At least 3 years of experience in a data-scientistalgorithms-developersoftware-engineer positionCV-engineer. Proficiency in Python. Knowledge of data science toolkits such as NumPy, Scikit-learn and OpenCVPyTorchTensorFlow. Familiarity with cloud-based infrastructure. Independent, persistent, and a getting things done person. Excellent interpersonal skills. Ability and drive to learn new things. Advantages Master's degree in Computer Science or a related field. Experience with Computer Vision algorithms. Experience in data mining and machine learning. Ability to store and process unstructured data with NoSQL databases. Experience with Vector DBs Experienced with identity managementrisk assessmentfraud detection. #LI-TL1 #LI-Hybrid","[identity verification, r, financial services, insurance, fintech, gaming, ecommerceretail, telco media, utilities, metrics evaluation, persistent, initiative]"
Real World Data Scientist,"We are looking for an experienced Data Scientist who can leverage and develop innovative machine learning, NLP, and generative AI technologies, for solving problems within a wide scope. As a part of our Data Science group, you will work on highly complicated challenges, from research to production, and help shape our algorithms and AI platform. You will work with Developers, Analysts, Product Managers, and business owners on growth opportunities and new ideas. You should have a strong background and experience in the machine learning pipeline through business understanding, research, data exploration, feature engineering, model building, performance evaluation, testing, production-level code and deployment, model monitoring, and maintenance. Requirements MSc in Computer ScienceEngineering or related field with a focus on applied statistics, AI, machine learning, or related fields - a must. 5+ years of production environment experience, working with predictive and probabilistic models, clustering algorithms, classification models, search and recommendation techniques - a must. Proven record for successful production implementation of translating productbusiness requirements into a technical solution. Team player, Ability to handle several tasks simultaneously. Strong knowledge in Python, SQL, and NoSQL. Spark and Big data technologies experience – an advantage. Research experience - an advantage. Experience with e-commerce - an advantage. At Fiverr, we’re not about checklists. If you don’t meet 100% of the requirements for this role but still feel passionate about the position and think you have the right skills and qualifications to excel at it, we want to hear from you. What am I going to do Take leading roles in projects such as search engine ranking, promoted ads in Fiverr’s search results, recommendations, users segmentation and personalization, online bidding optimization, text analysis, real-time predictions, live streaming data handling, exploration-exploitation problems, etc. Work closely with various departments in the company to provide advanced Data Science solutions end to end. Write and own production models and code. Independent research and innovation in new content and technological domains. Lead and advise other team members. Continuously produce new initiatives and improvement ideas. Act as a leader of Fiverr’s AI platform. Develop models and framework solutions for the group. Equal opportunities At Fiverr, we prioritize diversity. We celebrate difference and embed it into every aspect of our workplace, from our community to our product. Fiverr is proud and committed to providing equal opportunity employment to all individuals regardless of race, color, religion, sex, sexual orientation, citizenship, national origin, disability, Veteran status, or any other characteristic protected by law. In addition, Fiverr will provide accommodation to individuals with disabilities or a special need.","[r, research, data exploration, feature engineering, model building, performance evaluation, testing, model monitoring, machine learning, clustering algorithms, classification models, recommendations, online bidding optimization, text analysis, real-time predictions, sex, initiative, teamwork]"
Data scientist,"jb-19 Job Number with experience in Data Scientist Need a Development Woman Evaluating state of the art statistical modeling and machine Learning. Big data analysis, Modeling and Reporting. Job RequirementsRequirements A minimum first degree in computer science applied math statistics. Strong algorithm development skills. Proven experience with machine learning algorithms – both supervised and unsupervised. Proven experience with optimization algorithms. 5+ years of relevant experience with one of the following Python, R, Matlab. Strong communication skills, creative, results driven, quick learner. Experience with big data, distributed processing, NoSQL databases – a significant advantage. Your Name Job Number (Required) Upload a Job Share the job and let your friends help","[creative, results driven, distributed processing, communication]"
Data Engineer,"As a Data Engineer at Meta, you will shape the future of people-facing and business-facing products we build across our entire family of applications (Facebook, Instagram, Messenger, WhatsApp, Reality Labs, Threads). Your technical skills and analytical mindset will be utilized designing and building some of the world's most extensive data sets, helping to craft experiences for billions of people and hundreds of millions of businesses worldwide.In this role, you will collaborate with software engineering, data science, and product management teams to designbuild scalable data solutions across Meta to optimize growth, strategy, and user experience for our 3 billion plus users, as well as our internal employee community.You will be at the forefront of identifying and solving some of the most interesting data challenges at a scale few companies can match. By joining Meta, you will become part of a vibrant community dedicated to skill development and career growth in data engineering and beyond.Data Engineering You will guide teams by building optimal data artifacts (including datasets and visualizations) to address key questions. You will refine our systems, design logging solutions, and create scalable data models. Ensuring data security and quality, and with a strong focus on efficiency, you will suggest architecture and development approaches and data management standards to address complex analytical problems.Product leadership You will use data to shape product development, identify new opportunities, and tackle upcoming challenges. You'll ensure our products add value for users and businesses, by prioritizing projects, and driving innovative solutions to respond to challenges or opportunities.Communication and influence You won't simply present data, but tell data-driven stories. You will convince and influence your partners using clear insights and recommendations. You will build credibility through structure and clarity, and be a trusted strategic partner. Data Engineer Responsibilities Conceptualize and own the data architecture for multiple large-scale projects, while evaluating design and operational cost-benefit tradeoffs within systems Create and contribute to frameworks that improve the efficacy of logging data, while working with data infrastructure to triage issues and resolve Collaborate with engineers, product managers, and data scientists to understand data needs, representing key data insights in a meaningful way Define and manage Service Level Agreements for all data sets in allocated areas of ownership Determine and implement the security model based on privacy requirements, confirm safeguards are followed, address data quality issues, and evolve governance processes within allocated areas of ownership Design, build, and launch collections of sophisticated data models and visualizations that support multiple use cases across different products or domains Solve our most challenging data integration problems, utilizing optimal Extract, Transform, Load (ETL) patterns, frameworks, query techniques, sourcing from structured and unstructured data sources Assist in owning existing processes running in production, optimizing complex code through advanced algorithmic concepts Optimize pipelines, dashboards, frameworks, and systems to facilitate easier development of data artifacts Influence product and cross-functional teams to identify data opportunities to drive impact Mentor team members by givingreceiving actionable feedback Minimum Qualifications Bachelor's degree in Computer Science, Engineering, relevant technical field, or equivalent 4+ years of experience where the primary responsibility involves working with data. This could include roles such as data analyst, data scientist, data engineer, or similar positions 4+ years of experience (or a minimum of 2+ years with a Ph.D) with SQL, ETL, data modeling, and at least one programming language (e.g., Python, C++, C#, Scala, etc.) About Meta Meta builds technologies that help people connect, find communities, and grow businesses. When Facebook launched in 2004, it changed the way people connect. Apps like Messenger, Instagram and WhatsApp further empowered billions around the world. Now, Meta is moving beyond 2D screens toward immersive experiences like augmented and virtual reality to help build the next evolution in social technology. People who choose to build their careers by building with us at Meta help shape a future that will take us beyond what digital connection makes possible today—beyond the constraints of screens, the limits of distance, and even the rules of physics. Individual compensation is determined by skills, qualifications, experience, and location. Compensation details listed in this posting reflect the base hourly rate, monthly rate, or annual salary only, and do not include bonus, equity or sales incentives, if applicable. In addition to base compensation, Meta offers benefits. Learn more about benefits at Meta.","[r, WhatsApp, Reality Labs, data science, strategy, frameworks, query techniques, dashboards, data scientist, data engineer, data modeling, Python, Scala, find communities, communication, initiative, leadership, problem_solving, teamwork]"
Data Scientist,"Minute Media is a leading global tech-driven media company, developing all its technological needs in-house, end to end, in a rapid big-data environment. Minute Media’s proprietary platform serves as the company’s foundation, powering its content as well as enabling the evolution of other market-leading content brands. Minute Media owns and operates brands, including Sports Illustrated, The Players’ Tribune, 90min, DBLTAP, Mental Floss, The Big Lead, and FanSided (B2BB2C). We are looking for an experienced and innovative Data Scientist to join our team in Tel Aviv. In this role, you will develop and deploy machine learning models to optimize real-time ad targeting, bidding, and delivery. You’ll work closely with cross-functional teams to drive data-driven strategies that enhance campaign performance and revenue growth. Responsibilities Lead the design, development, and deployment of machine learning models to optimize ad targeting, bidding, and delivery in real-time ad tech environments. Analyze large-scale ad-serving data to uncover actionable insights, improve campaign performance, and drive revenue growth. Collaborate with cross-functional teams (product, engineering, ad ops and rev ops) to define data-driven strategies for ad server, SSP, and other ad tech products. Develop algorithms for demand-side and supply-side platform (SSP) optimization, focusing on improving monetization and user experience. Build predictive models and forecasting tools to enhance audience segmentation, ad placements, and pricing strategies. Maintain and scale data pipelines, ensuring seamless data integration from various sources to support model training and decision-making. Apply AB testing, statistical analysis, and performance metrics to validate and optimize ML models and algorithms. Work closely with engineering teams to integrate machine learning models into production systems, ensuring real-time processing and scalability. Mentor junior data scientists and provide technical leadership in implementing machine learning and data science best practices. Stay current with industry trends and technologies in the ad tech ecosystem, ensuring the team adopts the most effective tools and techniques. Requirements 3+ years of experience in data science, machine learning, or analytics roles, focusing on ad tech or digital advertising. Strong proficiency in machine learning frameworks (TensorFlow, PyTorch, Scikit-learn, etc.) and programming languages (Python, R, SQL). Proven experience working with ad tech products like ad servers, supply-side platforms (SSP), and demand-side platforms (DSP). In-depth understanding of real-time bidding (RTB), programmatic advertising, and auction mechanisms. Hands-on experience building and deploying ML models for optimization, recommendation systems, or predictive analytics. Proficiency in big data tools and technologies (Hadoop, Spark, AWS, GCP) and experience working with large-scale datasets in advertising environments. Strong analytical and problem-solving skills, with the ability to design experiments and measure the effectiveness of models in production. Experience working in a fast-paced, agile environment, with strong collaboration skills across engineering, product, and ad ops teams. Excellent communication and storytelling skills, capable of translating complex data insights into clear, actionable recommendations. Fluent English speaking and writing skills. Advantageous Experience in online advertising, especially in SSP, DSP, or programmatic ecosystems. Prior experience in a managerial role, leading teams Brand Minute Media Benefits Career development opportunities & different skill-based workshops are offered each quarter. Hybrid work model Gradual return from parental leave Fun company events and celebrations Community involvement opportunities, both in-person and remote Not sure that you're 100% qualified but are up for the challenge We want you to apply! Minute Media is committed to creating a diverse and inclusive work environment and is proud to be an equal-opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. Check the URL and email address of any correspondence with Minute Media. If it is not from @ minutemedia.com, treat it as fraudulent. To learn how to protect yourself from recruitment fraud, click here.","[r, development, statistical analysis, machine learning, PyTorch, Scikit-learn, python, Spark, product, genetics, communication, leadership, problem_solving, teamwork]"
Data Scientist (GenAI),"DESCRIPTION abra is recruiting Data Science for the role of predicting behaviors by using advanced machine learning algorithms in all its forms while examining statistics, establishing information systems that integrate AI insights, planning and implementing advanced AI solutions, initiating and algorithmic research, and more. Full-time position, Sunday-Thursday in Lod. REQUIREMENTS Academic degree in exact sciences or engineering (with a relevant background) – required. Five years or more experience in developing ML models for an operational environment – ​​required. In-depth knowledge of the Python language – required. Title Data Scientist Company Rubrik Job Board URL Title data scientist! Company Horizon Technologies URL Title Data Scientist Company Ticomsoft URL Title Data Scientist Company OSR Enterprises URL Title Data Engineer Company Meta URL Title Data Scientist Company Paretix URL Title Data Scientist Company ThetaRay URL Title Real World Data Scientist Company AstraZeneca URL Title Data Scientist Company TangoMe URL Title Data Scientist Company Abra URL Title Data Scientist Company Fiverr URL Title Data Scientist Company Finaloop URL Title Data Scientist Company InspHire URL Title Data Scientist (GenAI) Company Tipalti URL Title Data Scientist Company Moon Active URL",[r]
Store Manager,"PURPOSE & IMPACT ON ORGANIZATION: Drive your store’s profi tability by: ¬ Meeting or exceeding store sales and profi t targets ¬ Managing all resources within the store to provide customers with a leading shopping experience ¬ Driving the proper execution of established policies, procedures, initiatives and directives KEY RESPONSIBILITIES: ¬ Take full ownership of the store and its commercial success ¬ Analyze relevant data to probe and challenge the status quo ¬ Address identified improvement areas, involving the District Manager or other Retail Back Office partners as needed ¬ Drive continuous improvements in the store’s sales, productivity and profitability ¬ Ensure the legal and financial integrity of the store ¬ Lead service by example, maximizing the amount of time spent selling and leading team members on the sales floor ¬ Ensure there is always a manager on duty on the sales floor, focusing team members on the customer and on selling when you are not able to assume the responsibility yourself ¬ Schedule staff so as to properly serve customers, drive sales and execute tasks ¬ Be a Brand Ambassador, consistently exhibiting the Brand Attitude and Values ¬ Ensure proper in-store Brand execution according to established standards and directives ¬ Ensure all store team members are trained on Foundational and Seasonal Brand and product knowledge ¬ Manage all store operations in a systematic and efficient manner, as per established policies and procedures ¬ Ensure all established Visual Merchandising and In-Store Communication standards are consistently executed and maintained in the store ¬ Ensure merchandise deliveries are processed on the same day they arrive and the store’s entire product offer is made immediately available and easily accessible to customers on a consistent basis ¬ Ensure cash register transactions are processed quickly and accurately ¬ Lead and implement all applicable loss prevention policies and procedures ¬ Maintain a safe and productive shopping and working environment ¬ Manage the recruitment and training of store team members ¬ Ensure all HR policies and procedures are adhered to ¬ Create a high performance culture by setting clear expectations, analyzing performance and giving appropriate and prompt feedback, including actively managing poor performance ¬ Work with the District Manager to identify and develop select strong performers with potential for growth along the Retail Field Career Ladder ¬ Share best practices to drive the collective performance of all district stores ¬ Complete all applicable training programs and effectively apply the learning on the job KEY RELATIONSHIPS: ¬ Customers ¬ Peers and Supervisor ¬ Vendors and Support Functions (e.g. Visual Merchandising, Facility Services, etc.) ¬ Local Administration (e.g. mall management) MINIMUM QUALIFICATIONS: 1. Minimum 18 months work experience in a sports/fashion customer- and commercial-focused retail environment with a minimum of 12 months of Store Management responsibility 2. Intermediate numeracy and literacy and advanced verbal communication skills 3. A Bachelor's degree is an advantage AT ADIDAS WE HAVE A WINNING CULTURE. BUT TO WIN, PHYSICAL POWER IS NOT ENOUGH. JUST LIKE ATHLETES OUR EMPLOYEES NEED MENTAL STRENGTH IN THEIR GAME. WE FOSTER THE ATHLETE’S MINDSET THROUGH A SET OF BEHAVIORS THAT WE WANT TO ENABLE AND DEVELOP IN OUR PEOPLE AND THAT ARE AT THE CORE OF OUR UNIQUE COMPANY CULTURE: THIS IS HOW WE WIN WHILE PLAYING FAIR. COURAGE: Speak up when you see an opportunity; step up when you see a need.. OWNERSHIP: Pick up the ball. Be proactive, take responsibility and follow-through. INNOVATION: Elevate to win. Be curious, test and learn new and better ways of doing things. TEAMPLAY: Win together. Work collaboratively and cultivate a shared mindset. INTEGRITY: Play by the rules. Hold yourself and others accountable to our company’s standards. RESPECT: Value all players. Display empathy, be inclusive and show dignity to all. ADIDAS CELEBRATES DIVERSITY, SUPPORTS INCLUSIVENESS AND ENCOURAGES INDIVIDUAL EXPRESSION IN OUR WORKPLACE. WE DO NOT TOLERATE THE HARASSMENT OR DISCRIMINATION TOWARD ANY OF OUR APPLICANTS OR EMPLOYEES. WE ARE AN EQUAL OPPORTUNITY EMPLOYER. JOB TITLE: Store Manager BRAND: LOCATION: Tel Aviv TEAM: Retail (Store) STATE: TA COUNTRY/REGION: IL CONTRACT TYPE: Full time NUMBER: 515493 DATE: Dec 23, 2024","[procedures, Facility Services, communication, initiative, organization]"
Junior Product Manager,"Job Description Responsibilities Work with the customer success team and customers to understand customer requirements Translate commercial requirements into the R&D pipeline through tasks specification Help determining feature prioritisation through business data analysis Compose product documentation Execute on non-technical product requirements (product operations) Conduct market research on required product features Help or create future UI and UX of the product Ability to create specification and process documents Ability to analyse business data and come up with actionable insights ‍ Requirements Fluent in English both writing and talking Past experience working in a product company or on a SaaS product - advantage Experience with SQL and BI tool - advantage Good communications skills Bright, fast and hard working with tendency for hands-on work Product Information Presentation - smsedge.com/presentation Video - smsedge.com/video Apply via email at: jobs@smsedge.com",[r]
Game Economy Manager,"A fast-growing mobile gaming company that provides entertainment to millions of users around the world is expanding and is looking for a rockstar Game Economy Manager to join its great team! The company is headquartered in Tel Aviv. With a team of talented and passionate developers, designers, industry experts and gamers, this company is at the forefront of creating immersive gaming experiences that engage players on a whole new level. As it continues to push the boundaries of what is possible in gaming, it is poised to shape the future of the industry and redefine what it means to be a skill-based gaming company. RESPONSIBILITIES Collaborate with product owners, game designers and developers in defining new game features as to set healthy incentives and keep the game economy balanced Design the structure and parameters you will use to control and configure a feature Create configurations for new features, live-ops challenges, in-app-purchase offers, bonus plans and more Find useful players’ segmentations for optimizing different KPIs Control the pricing in the game – both for in-game currencies and real money Optimize configurations using data analysis and A/B testing Balance engagement aspects of user experience with revenue increasing strategies Monitor important in-game economic KPIs and maintain a balanced economy REQUIREMENTS Experience in F2P online / mobile gaming BA/BSC degree in: Economics, statistics, mathematics, physics, business studies or any other quantitative field A skill for modeling complex structures Knowledge in statistics and probability theory Excellent control with Excel","[designers, r, live-ops challenges, in-app-purchase offers, mobile gaming BA, statistics, mathematics, physics, teamwork]"
Junior Project Manager,"Rockstars wanted! We are a young, fast-growing company that delivers excellent cloud-based solutions, focused on the market leading products from companies such as salesforce.com and Oracle. We’re looking for an experienced project manager to manage and deliver CRM projects on the Salesforce.com platform. The job includes both project management skills (such as customer management, timeline and task management, budget management etc.) as well as hands-on technical implementation knowledge on the Salesforce.com platform. Responsibilities: Proactively identify and implement operational improvements, enhancements, and system customizations that meet business requirements. Manage and design salesforce projects in various fields such as: Service Cloud, Sales Cloud, Customer and Partner Communities, Integrations. Working closely with stakeholders and end users to identify, document and communicate business processes as they relate to Salesforce. Skills Required: At least 1 year experience as a project manager in Information system technologies. BA / B.Sc. Industrial engineering, information systems management or equivalent. Strong communication skills mainly in English. Proven ability to design and implement new processes and facilitate user adoption. Strong data management abilities. Experience with CRM applications Salesforce Certifications – advantage. Please send your CV to: [email protected]","[r, enhancements, Sales Cloud, communication]"
Brand Manager,"Job Location: Israel Job Location: Holon Company description Ferrero is a family-owned company with a truly progressive and global outlook and iconic brands such as Nutella®, Tic Tac®, Ferrero Rocher®, Raffaello®, Kinder Bueno® and Kinder Surprise®. As the love for our brands continues to grow, so too does our global reach. Represented in more than 50 countries, with products sold in more than 170, the Ferrero Group is loved by generations around the world. The secret to our global success? 38,767 dedicated employees who celebrate care and quality to craft a business, careers and brands we are proud of. Join us, and you could be one of them. About the Role: Diversity Statement Ferrero is committed to building a diverse and inclusive culture in which all employees feel welcomed and appreciated and have the same opportunities. We believe all of our people are equally talented in their own way. In nurturing the curiosity and natural abilities of our employees, we provide them, generation after generation, the means to succeed personally and professionally, enabling them to craft their journey at Ferrero. The diversity of our talents is what makes our work environment multicultural, innovative and highly rewarding. Main Responsibilities: Marketing & Media Activities: Execute the Brand strategy and activity grid Work with a creative/PR/Media agencies on marketing campaign including strategic promotions with supporting in store merchandising materials. Operational follow-up on brands communication means: brand website, social-media campaign, sales folders, advertisements...) Analyze the campaigns performance Prepare internal material for presentation of activities for both internal and external purpose Creation of point of sales material and/or promotional ones Run Brand & Market analysis (Storenext, Apex, Internal Data) and Support in forecasting preparation Manage the brand budget Who we are looking for: Bachelor’s Fluent English Highly proficient in Microsoft Office Apps (Word, Excel, Power Point, Outlook) Highly motivated achiever who is results oriented Ability to communicate effectively Highly motivated to learn How to be successful in the role and at Ferrero: Consumers, quality and care are at the heart of everything we do. So, to be successful at Ferrero, you’ll need to be just as consumer and product centric as we are - dedicated to crafting brilliant results for consumers around the world. Requisition ID 66477 Job function Marketing Country Israel City Holon APPLY NOW SHARE THIS JOB APPLY NOW PRESCILA | MARKETING Introducing Prescila, our passionate Brand Manager from Lebanon. As a child, Prescila was extrovert and loved fine arts. Today, she conducts her own orchestra by coordinating stakeholders to drive the right rhythm and tempo of the Marketing projects she manages. WATCH THE VIDEO WATCH MORE","[Tic Tac®, Ferrero Rocher®, r, social-media campaign, sales folders, Power Point, communication]"
Partnerships Manager,"About us: At Seperia, we simplify the way people make financial decisions. As a leading fintech comparison platform, we empower users worldwide to find the best financial products tailored to their needs. We believe in full transparency and fairness, providing users with all the information they need to make informed choices. Trusted by the leading finance brands including Revolut, HSBC, and more, our goal is to become the go-to resource for everyone seeking to make sound financial decisions. We are seeking a results-oriented Partnership Manager to lead and grow relationships with our partners. In this role, you will be the sole point of contact for our key partners; responsible for developing strategic alliances, managing partner performance, identifying new business opportunities and driving mutually beneficial outcomes. You will play a crucial role in expanding our partner network and ensuring long-term success. Responsibilities: Partner Relationship Management : Build, maintain, and strengthen relationships with existing and potential partners. Strategic Growth : Identify and pursue opportunities to expand the partner network, ensuring alignment with company goals and objectives. Performance Optimization : Analyze partner performance, provide actionable insights, and implement strategies to improve outcomes. Identifying New Business Opportunities : Research market trends, competitor activities, and emerging technologies to identify growth opportunities. Evaluate potential partnerships, collaborations, and revenue streams to enhance business impact. Develop and present business cases for new initiatives to stakeholders and leadership. Contract Negotiations : Lead negotiations and onboarding processes for new partnerships, ensuring mutual value and compliance. Cross-functional Collaboration : Work closely with marketing, product, and tech teams to align partner activities with overall business objectives. Market Insights : Stay updated on industry trends and competitor activities to identify new opportunities and risks. Reporting : Track and report on partnership performance, including KPIs and ROI, to stakeholders and leadership. Requirements: Proven experience in partnership management, business development, sales, or a similar role, preferably in the fintech or digital marketing industry. Strong understanding of performance marketing, affiliate management, or comparison site dynamics – Advantage. Exceptional negotiation and communication skills. Analytical mindset with the ability to interpret data and draw actionable conclusions. Strategic thinker with a results-driven approach to meeting goals and deadlines. A commercial-oriented mindset with a hunger to win and the ability to consistently secure the best deals. Ability to build and maintain professional relationships with diverse stakeholders. Bachelor’s degree in Business Administration, Marketing, or a related field (MBA is a plus)","[r, competitor activities, collaborations, product, business development, sales, communication, leadership, problem_solving, teamwork]"
JUNIOR PROJECT MANAGER,"Are you a junior project manager? Are you a student of Industry and management in your last year? Bulls Media World group (IL Office), A rapidly growing online marketing company is looking for someone like you to join our rapidly growing company! We offer a major opportunity of entering the world of digital marketing at a dynamic, young - global, and vast growing AdTech company. We invite you to a fascinating & professional course tailored to the needs of the position we offer, completely on our dime. What will you do? You will be in charge of managing and executing a variety of projects, from end to end. THIS INCLUDES THE FOLLOWING: Project process analysis Sorting the requirements and needs for the projects to succeed. Building work plans in a set timeline, and breaking them down to teams tasks. Constantly communicating and motivating teams to perform their appointed tasks on schedule. Promoting the project to completion (end to end execution), building and managing schedules Multi-interface work, including working relationships with teams abroad, in a dynamic, frequently changing and highly technological environment. Suitable for students in their final year with full-time availability as well as graduates. Bachelor's degree with little experience. REQUIREMENTS: Bachelor of Industry and Management or students in their final year of study Analytical way of thinking. High Excel level (google sheets- adv.) Planning, task monitoring, and prioritizing skills. High English level Attention to details, good time-management skills, ability to handle multi-tasking activities Position number: 1044","[young - global, r, task monitoring, communication, problem_solving]"
Junior customer success manager,"Job Description Day-to-day responsibilities include: Communicating with new and existing clients, understanding their needs and onboarding them. Working with telecom companies to improve and add delivery channels. Connecting and negotiating with communication providers. Reviewing and understanding key performance statistics, ultimately deriving conclusions and recommendations based on campaign performance. Ensuring customers see maximum success with their sms marketing campaigns. Requirements: Energetic, with a can do attitude. Communicative and a team player. Analytical with ability to interpret data and analytics into meaningful insights. Creative, self-starter, who can multitask while working under pressure. English - High Proficiency - MUST Send CV to: jobs@smsedge.io Product Information Presentation - smsedge.com/presentation Video - smsedge.com/video Apply via email at: jobs@smsedge.com","[self-starter, r, communication, problem_solving, teamwork]"
