Cluster_Title,Num_Rows,Job_Titles,Clusters
data entry,7,"[""Data Entry (Biller)"",""Administrative Assistant"",""Data Entry (Remote)"",""Copywriter/Proofreader"",""Data Entry Clerk"",""s you believe are excellent and will be great fits for Book of the Month"",""Data Entry""]","[56,61,53]"
data engineer,15,"[""Junior Data Engineer"",""Data Scientist"",""Data Scientist"",""Customer Data Engineer"",""Data Engineer"",""AI Data Engineer"",""Data Engineer"",""Data Entry Operator""]","[5,34]"
developer excel,4,"[""Excel Developer"",""Experienced Software Engineer across a wide array of tech stacks"",""Backend Systems & Mobile App Developer - PHP/MySQL Specialist""]",[44]
dusty s,9,"[""Team8 Stealth Startup - Operations & Employee Experience Manager"",""Customer Success Manager, Israel - IL"",""s or dailies over Zoom. Just one small team with ambitious goals in a dusty garage. Well, perhaps not in a dusty garage, but you get the idea."",""s or dailies over Zoom. Just one small team with ambitious goals in a dusty garage. Well, perhaps not in a dusty garage, but you get the idea."",""Junior Project Manager"",""s such as Senior SSU Manager.""]",[24]
software instructional,4,"[""Instructional Designer, Content Developer"",""Junior Software Engineer"",""Software Engineer, Backend""]",[48]
freelance crime,2,"[""Freelance Reader: Crime Fiction"",""Product Tester for Books and Ebooks (m/f/d)""]",[55]
manager store,4,"[""Store Manager"","":"",""Junior Publisher Success Manager""]",[11]
data ai,9,"[""Data Engineer- AI Trainer"",""Data Analyst"",""Junior Data Scientist"",""Statistician - AI Trainer"",""Biostatistician - AI Trainer"",""Data Analyst"",""Earth Observation / Geospatial Intelligence Data Scientist - Part Time"",""UK 2025 Data Analytics Apprenticeship"",""Data Analyst""]","[32,30]"
entry level,4,"[""Entry Level Business Analyst"",""Product Reviewer & Tester (User-Generated Content, make short format video at home)"",""Entry Level Data Analyst"",""Software Developer - AI Trainer (Contract)""]","[62,60]"
data junior,7,"[""Big Data developer - Python"",""Data Annotator"",""Junior Data Engineer"",""Junior Data Analyst""]",[8]
customer service,2,"[""Customer Service Representative"",""Office Clerk""]",[57]
developer frontend,6,"[""Frontend Developer"",""Front End Developer (contract)"",""Experienced Software Engineer across a wide array of tech stacks""]",[47]
manager vip,9,"[""VIP Account Manager - English Speakers"",""Customer Project Manager"",""Junior Customer Success Manager"",""Study Start-Up Manager"",""VIP Account Manager - English Speakers""]",[19]
